Name,Dam Name,Owner,Latitude,Longitude,Elevation,Gross Pool Storage,Gross Pool Elevation,CWMS-Storage,CWMS-Elevation,CWMS-TOC,X,Y
Lake Sonoma,Warm Springs Dam,COE,38.7225,-123.01,495.08,381000,495,Lake Sonoma-Pool.Stor.Inst.~1Day.0.Calc-val,Lake Sonoma-Pool.Elev.Inst.~1Day.0.Calc-val,,0.075,0.675
Los Banos,,SC7,37.053,-121.049,106.68,34562,353.5,Los Banos.Stor.Inst.~1Day.0.MANUAL,Los Banos.Elev.Inst.~1Day.0.MANUAL,Los Banos.Stor-Top Con.Inst.~1Day.0.Calc-cdec,0.075,0.275
Martis Creek,,COE,39.3267,-120.113,5858.01,20400,5838,Martis Creek-Pool.Stor.Inst.~1Day.0.Calc-val,Martis Creek-Pool.Elev.Inst.~1Day.0.Calc-val,Martis Creek.Stor-Top Con.Inst.~1Day.0.Calc-val,0.9,0.65
Millerton Lake,Friant Dam,SC7,37.001,-119.705,581,520500,578,Friant Dam.Stor.Inst.~1Day.0.Raw-USBR-Combined,Friant Dam.Elev.Inst.~1Day.0.Raw-USBR-Combined,Friant Dam.Stor-Top Con.Inst.~1Day.0.Calc-usbr,0.225,0.15
New Bullards Bar,,SC7,39.393,-121.14,598.902,966000,1956,New Bullards Bar.Stor.Inst.~1Day.0.Calc-cdec,New Bullards Bar.Elev.Inst.~1Day.0.Calc-cdec,New Bullards Bar.Stor-Top Con.Inst.~1Day.0.Calc-usbr,0.525,0.95
New Hogan,,COE,38.1536,-120.8,725.07,317100,713,New Hogan-Pool.Stor.Inst.~1Day.0.Calc-val,New Hogan-Pool.Elev.Inst.~1Day.0.Calc-val,New Hogan.Stor-Top Con.Inst.~1Day.0.Calc-val,0.075,0.525
New Melones,,COE,37.9491,-120.524,345.948,2420000,1088,New Melones.Stor.Inst.~1Day.0.Raw-USBR-Combined,New Melones.Elev.Inst.~1Day.0.Raw-USBR-Combined,New Melones.Stor-Top Con.Inst.~1Day.0.Calc-cdec,0.9,0.525
Pine Flat Lake,,COE,36.8511,-119.314,541,1001055,951.5,Pine Flat Lake-Pool.Stor.Inst.~1Day.0.Calc-val,Pine Flat Lake-Pool.Elev.Inst.~1Day.0.Calc-val,Pine Flat Lake.Stor-Top Con.Inst.~1Day.0.Calc-val,0.4,0.15
Prosser Creek,,SC7,39.3794,-120.137,5622,29800,5741.2,Prosser.Stor.Inst.~1Day.0.MANUAL,Prosser.Elev.Inst.~1Day.0.MANUAL,Prosser.Stor-Top Con.Inst.~1Day.0.Calc-manual,0.675,0.775
Stampede,,SC7,39.471,-120.103,5956,226500,5948.7,Stampede.Stor.Inst.~1Day.0.MANUAL,Stampede.Elev.Inst.~1Day.0.MANUAL,Stampede.Stor-Top Con.Inst.~1Day.0.Calc-manual,0.825,0.775
Success Lake,Schafer Dam,COE,36.0611,-118.922,179.829,84095,652.5,Success Lake-Pool.Stor.Inst.~1Day.0.Calc-val,Success Lake-Pool.Elev.Inst.~1Day.0.Calc-val,Success Lake.Stor-Top Con.Inst.~1Day.0.Calc-val,0.7,0.15
